employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
51256,6,2,2,1,0,1,60,5,17,0,0,59,0
66635,2,15,1,1,0,1,31,5,4,1,0,63,1
16027,2,26,1,0,0,1,37,3,11,0,0,57,0
46020,5,7,1,1,1,2,39,3,4,1,0,83,0
28509,1,7,1,1,0,1,40,5,8,1,0,54,0
33587,1,28,2,1,1,1,42,5,4,0,0,50,0
21387,2,13,1,1,0,1,35,4,6,1,0,57,1
55927,2,13,2,0,1,1,41,4,6,1,0,62,0
60763,3,2,1,0,0,1,23,3,2,0,0,73,0
53167,1,16,1,1,1,2,31,3,4,0,0,50,0
32672,5,22,2,1,0,1,42,2,19,0,0,79,0
48785,1,22,1,1,0,3,29,4,2,0,0,49,0
51444,7,13,1,0,0,1,30,0,1,1,0,54,0
75778,2,2,1,1,1,1,41,4,6,1,0,63,0
14141,1,7,1,0,0,1,40,3,2,1,0,90,1
17894,1,2,1,1,2,1,34,5,5,0,0,49,0
54380,1,4,1,0,0,1,31,4,2,0,0,46,0
51892,4,2,1,1,0,1,27,5,2,0,0,86,1
3625,3,21,1,1,1,4,30,3,2,0,0,72,0
38771,3,23,1,0,0,1,27,4,4,1,0,72,1
18959,4,15,1,1,0,4,36,4,7,0,0,82,0
21137,4,2,1,1,1,1,35,4,6,0,0,77,0
26097,1,25,2,1,0,1,34,5,7,1,0,51,1
38052,3,34,2,1,1,1,37,5,3,0,1,92,1
41746,2,22,1,0,1,1,27,0,1,1,0,58,0
72744,3,2,2,1,1,2,47,3,5,1,0,71,0
5461,5,8,1,1,0,1,28,0,1,1,0,83,0
15227,3,27,2,0,0,1,40,5,5,0,0,68,0
66874,1,27,1,0,0,1,30,0,1,0,0,50,0
42068,2,1,2,1,0,1,38,5,9,1,0,61,0
54825,1,25,1,1,0,1,30,3,2,0,0,47,0
77709,1,11,1,0,1,1,28,5,3,0,0,46,0
43712,3,22,1,1,1,2,28,5,4,1,0,67,0
74783,2,29,1,1,1,1,35,4,7,0,0,58,0
19318,5,22,1,1,0,1,32,3,8,0,0,89,1
12096,1,26,2,1,1,1,36,5,8,0,0,50,0
5102,2,7,1,1,1,1,24,0,1,1,0,56,0
29521,4,15,1,1,0,1,27,3,4,1,0,78,0
36371,6,28,2,1,0,2,34,3,7,0,0,56,0
51164,4,14,1,0,0,1,31,4,4,1,1,78,0
17812,4,27,1,0,1,1,30,4,2,0,0,77,0
7606,4,29,1,0,0,2,30,3,7,1,1,76,0
50593,6,23,1,1,1,1,31,0,1,1,0,56,0
73735,5,25,1,1,0,1,30,5,3,1,0,84,0
29313,6,22,1,1,1,1,28,3,2,0,0,57,0
40262,4,2,1,1,0,2,28,3,5,0,0,81,0
36904,1,15,1,1,0,1,29,3,2,0,0,51,0
62552,1,22,2,1,1,1,46,3,11,1,0,51,0
63285,4,29,1,1,1,1,31,5,4,1,0,80,0
74203,3,5,1,1,1,1,28,1,4,0,0,72,0
75344,1,4,2,1,0,1,31,4,6,0,0,50,0
74018,7,7,2,0,0,1,37,3,9,0,0,48,0
34985,4,5,1,0,0,2,34,5,8,0,0,88,1
35930,3,2,1,1,1,1,25,5,3,1,0,70,1
6708,2,22,2,1,1,1,40,4,4,1,0,57,0
5515,2,13,2,1,0,1,43,3,7,1,0,56,1
53373,2,13,1,1,0,1,36,1,5,0,0,56,0
69316,8,29,1,1,1,1,29,3,3,0,0,63,0
41009,6,13,1,1,1,2,35,3,2,0,0,56,0
50622,5,25,2,1,0,1,34,5,2,0,0,84,0
30106,1,16,1,0,1,1,32,4,4,1,0,45,0
45157,7,4,1,1,0,1,27,0,1,1,0,50,0
23523,4,26,1,1,1,1,29,3,5,0,0,75,0
74349,1,5,1,1,1,1,34,1,4,0,0,48,0
70543,3,2,2,1,1,1,37,5,7,1,0,70,0
42245,3,22,1,0,0,1,33,3,3,1,0,73,0
34405,3,2,2,0,0,1,33,5,4,1,0,67,0
4134,1,16,1,0,0,1,39,1,8,0,0,45,0
23599,4,23,2,1,0,1,34,4,7,0,0,82,0
942,4,22,1,1,0,2,32,4,6,0,0,84,0
5281,1,7,2,1,0,1,34,4,6,0,0,53,0
197,6,12,1,1,0,1,29,5,6,1,0,61,0
37574,1,2,1,1,1,2,28,1,2,0,0,50,0
26773,4,7,1,0,0,1,28,2,5,0,0,75,0
70034,3,2,2,0,0,2,35,3,9,0,0,70,0
40565,4,2,1,0,0,2,40,3,3,0,0,86,0
17193,1,2,1,0,0,2,27,2,4,0,0,54,0
76550,3,22,1,0,0,3,26,3,3,1,0,70,0
53841,2,2,1,1,1,1,43,2,12,0,0,57,0
28314,6,26,1,1,0,1,23,0,1,0,0,61,0
30196,5,25,1,1,1,1,29,5,6,1,0,84,0
29757,1,14,1,1,1,1,43,3,15,0,0,51,0
6073,1,2,1,1,1,3,27,4,4,0,0,49,0
9863,3,27,1,1,1,1,26,4,4,1,0,70,0
34306,3,13,1,0,0,1,31,5,5,1,0,72,0
34041,2,7,1,1,0,1,40,4,11,0,0,58,0
21356,2,15,1,0,0,2,39,5,12,1,0,55,0
29540,2,2,1,0,0,2,30,3,6,0,0,57,0
51669,4,2,2,1,0,1,47,4,4,1,0,77,0
33825,1,17,1,1,0,1,34,4,7,1,0,48,1
6254,2,2,0,0,0,1,33,4,9,0,0,64,0
11645,1,23,2,1,0,1,41,5,7,0,0,51,0
3231,4,7,1,1,0,1,29,1,4,0,0,80,0
7030,5,31,1,0,0,1,32,3,4,0,0,86,0
54198,3,7,2,0,0,1,47,5,9,0,0,68,0
62293,2,27,1,1,0,1,35,4,3,0,0,65,0
25312,4,22,1,1,0,1,27,4,2,0,0,75,0
75610,5,32,1,1,0,1,29,1,3,0,0,81,0
16518,1,20,1,1,1,2,36,3,9,0,0,49,0
42747,1,15,1,1,0,2,35,1,8,0,0,39,0
67980,3,2,1,0,1,2,34,3,2,0,0,70,0
53630,1,23,2,0,1,1,34,4,5,1,1,94,1
72423,2,2,2,1,1,1,39,3,2,1,0,60,0
73022,1,25,1,1,0,1,26,5,2,1,0,51,0
63976,2,31,1,0,1,1,30,5,4,0,0,56,0
60761,2,16,0,0,0,1,31,4,2,0,0,62,0
57228,7,2,2,1,1,1,44,5,6,0,0,48,0
14912,1,1,1,1,0,1,38,3,4,1,0,49,0
22725,4,26,1,1,0,1,40,1,3,0,0,78,0
18981,8,2,2,1,1,1,50,5,6,0,1,58,0
50845,3,19,2,1,0,1,44,3,12,0,0,70,0
11800,3,2,0,0,0,1,23,1,2,0,0,69,0
16351,1,7,2,0,1,1,36,1,2,0,0,53,0
75881,5,27,1,1,1,1,25,1,4,0,0,80,0
73200,2,28,1,1,1,1,34,5,4,1,0,58,0
17833,5,4,1,1,1,1,28,0,1,0,0,85,0
58338,5,1,1,1,0,2,30,5,6,1,0,81,0
40187,3,12,1,1,1,1,35,1,8,0,0,67,0
70193,5,6,1,1,1,1,33,4,8,0,0,86,0
27188,5,13,2,1,0,1,30,3,4,1,0,80,0
24291,5,26,1,1,0,2,27,5,3,1,0,85,0
43676,3,2,1,1,0,4,29,0,1,0,0,68,0
52231,2,2,1,1,1,1,43,3,3,0,0,58,0
34241,5,22,1,1,0,2,28,3,5,1,0,86,0
76661,3,17,1,1,0,1,31,5,3,1,0,68,0
50595,2,2,1,0,0,1,43,4,12,0,0,58,0
67673,2,4,1,0,0,1,35,5,9,1,0,60,0
10547,1,5,1,1,0,2,35,3,9,0,0,49,0
73405,2,2,2,1,0,1,50,3,8,1,0,59,0
73114,7,17,1,0,0,1,26,4,3,0,0,50,0
22572,1,27,1,1,1,1,32,3,5,1,0,52,0
62923,2,13,2,0,0,1,38,5,2,1,1,93,1
57235,1,26,0,1,0,1,22,4,2,0,0,51,0
22300,7,20,1,1,0,1,28,0,1,1,0,52,0
24090,3,14,1,0,1,1,37,3,9,0,0,69,0
57298,5,2,1,1,1,2,54,3,9,1,0,86,0
25629,1,11,1,1,1,1,36,3,8,0,0,51,0
71339,4,6,1,1,0,1,35,3,8,0,0,78,0
54714,5,29,1,1,0,1,39,3,4,1,0,85,0
7390,2,12,1,0,1,1,31,5,4,1,0,63,0
9563,2,31,1,1,0,2,38,3,7,1,1,60,0
39107,1,22,1,1,1,1,28,1,2,0,0,48,0
19445,1,7,1,1,1,3,26,2,3,0,0,52,0
42636,1,26,1,1,1,1,29,0,1,0,0,54,0
32557,5,20,1,1,1,1,30,3,4,0,0,84,0
43396,2,22,1,1,1,2,37,2,4,1,0,57,1
24414,9,2,0,1,0,1,25,0,1,1,0,76,0
63237,4,22,1,1,2,1,26,4,2,0,0,82,0
32838,4,7,1,1,0,1,31,4,4,0,0,78,0
23003,4,14,1,0,0,1,38,5,7,1,0,82,0
45198,1,13,1,1,0,1,39,4,9,0,0,49,0
40376,1,4,1,1,0,1,30,5,4,0,1,50,0
60176,3,15,2,0,0,1,34,5,8,1,0,67,0
67652,3,23,2,0,0,1,33,3,5,1,0,72,0
15476,4,2,1,0,0,1,29,5,3,1,0,78,0
55811,2,2,1,1,1,1,28,4,2,1,0,61,0
15737,6,22,1,1,1,1,24,0,1,0,0,56,0
10058,5,22,1,1,0,2,26,4,2,1,0,87,0
73435,8,22,1,1,1,1,34,5,4,0,0,64,0
51255,1,27,1,1,1,1,35,3,7,0,0,46,0
70060,4,13,2,1,0,1,43,3,14,0,0,79,0
51473,1,15,1,1,0,1,34,1,8,0,0,39,0
71904,4,7,2,0,0,2,38,3,10,0,0,88,0
76080,2,7,1,0,0,1,34,1,5,0,0,54,0
33357,2,22,1,1,1,1,41,4,4,0,0,63,0
53502,6,7,1,1,1,2,29,1,4,0,0,61,0
26409,2,2,1,1,0,1,33,4,3,0,0,61,0
59608,1,2,2,0,0,1,41,4,5,1,0,48,0
28687,2,2,2,1,0,3,38,3,11,0,0,57,0
34312,3,2,2,0,0,2,54,4,23,0,0,66,0
11438,1,13,2,0,1,2,34,2,8,0,0,49,0
11794,9,2,1,1,0,2,26,5,3,1,0,87,0
48756,2,7,1,0,1,1,35,5,3,0,0,59,0
35873,8,2,0,1,0,1,28,0,1,0,0,62,0
13970,2,33,2,1,0,1,36,3,4,0,0,60,0
49868,4,5,1,1,0,1,45,3,15,0,0,87,0
25261,3,7,2,1,0,1,38,4,7,0,0,66,0
44536,1,27,1,0,0,1,26,2,4,0,0,47,0
55550,5,27,0,1,1,1,31,3,4,0,0,85,0
27989,5,34,1,1,1,1,32,3,7,0,0,87,0
12598,5,6,1,1,1,1,29,4,4,0,0,78,0
32877,1,2,1,0,0,1,40,3,12,0,0,50,0
30682,4,2,1,1,2,2,29,4,6,0,0,75,0
1829,5,28,1,1,0,2,31,5,7,1,0,87,0
2177,6,16,1,1,0,1,32,5,6,1,0,58,0
51771,2,17,1,1,0,1,42,5,11,0,0,67,0
26026,3,15,1,0,1,1,30,5,3,1,0,65,0
64977,3,16,1,0,0,1,24,3,2,1,0,70,0
44585,1,30,1,1,1,1,35,3,7,0,0,56,0
43562,4,5,1,0,1,2,32,1,3,0,0,80,0
56287,7,2,1,0,1,1,22,3,2,0,0,47,0
19100,1,2,1,1,1,2,44,5,14,0,0,48,0
58203,2,16,1,1,0,2,39,3,9,0,0,58,0
12504,4,7,1,0,0,1,46,4,17,0,0,85,0
49126,4,15,1,1,0,1,29,2,5,0,0,77,0
66469,6,7,1,1,0,1,26,1,3,0,0,59,0
53350,2,23,1,1,0,1,35,4,5,0,0,61,0
22031,3,2,1,0,0,1,29,4,2,1,0,95,1
36185,4,13,1,1,1,1,30,2,9,0,0,79,0
58415,1,7,1,1,0,1,45,4,5,0,0,50,0
71763,1,15,1,0,0,1,30,1,6,0,0,47,0
62742,6,32,1,1,1,1,28,2,4,0,0,59,0
33619,4,2,2,1,1,1,46,5,10,1,0,76,0
41212,3,7,1,1,1,1,27,2,2,0,0,69,0
40204,1,11,1,1,1,1,34,2,5,0,0,47,0
59131,5,19,1,1,1,2,32,5,3,1,0,86,0
12559,2,22,1,0,0,1,35,5,10,0,0,63,0
30433,3,27,1,1,0,1,36,4,3,1,0,66,0
13150,3,2,2,0,0,1,58,1,13,0,0,70,0
9616,6,31,1,1,0,1,29,4,4,0,0,57,0
26563,3,2,1,0,2,1,33,3,3,1,0,67,0
38331,2,16,1,0,0,1,32,5,6,0,0,62,0
18651,8,22,0,1,0,1,25,5,2,1,0,59,0
45004,3,13,1,1,0,4,41,2,9,0,0,68,0
11892,3,12,1,0,0,1,25,0,1,1,0,69,0
16859,5,2,2,1,0,1,50,1,7,0,1,79,0
26107,1,26,1,1,0,1,30,1,7,0,0,53,0
22511,4,24,1,1,1,1,28,0,1,0,0,81,0
22865,5,20,2,1,0,1,40,5,5,0,1,83,1
67467,6,2,0,0,0,1,26,3,2,0,0,61,0
2268,4,13,1,1,0,1,35,5,8,1,0,81,0
33517,1,7,2,1,0,1,37,3,7,1,0,52,0
27605,2,22,2,1,0,1,34,3,3,0,0,75,1
69349,2,8,1,1,1,1,25,3,2,0,0,57,0
45496,1,2,0,1,0,1,22,5,2,0,0,62,1
66262,3,2,1,0,0,2,26,5,2,1,0,68,1
55425,4,2,1,0,0,1,31,4,7,1,0,80,0
29543,6,2,1,1,1,4,31,5,3,1,0,60,0
36547,5,25,1,1,1,1,32,3,6,1,0,86,0
11205,1,19,1,1,1,1,36,5,8,0,0,48,0
469,4,2,1,0,1,1,57,3,19,0,0,81,0
44703,1,2,1,0,1,1,42,4,9,0,0,51,0
14847,1,20,1,1,0,1,28,3,3,0,0,48,0
43689,5,12,1,1,1,2,33,4,3,1,0,86,0
72157,5,2,1,1,1,1,41,3,3,0,0,86,0
74579,2,2,0,1,0,2,26,0,1,0,0,61,0
51544,3,12,1,0,0,1,32,5,5,0,1,84,1
5128,2,2,0,1,0,1,48,3,8,0,0,57,0
37952,2,26,2,1,0,1,41,3,7,0,0,58,0
39914,4,2,2,1,0,1,31,5,4,1,0,82,0
74332,1,26,1,1,0,1,37,4,5,0,0,54,0
42886,5,29,1,1,0,1,30,1,4,0,0,84,0
53988,6,2,0,1,0,1,26,5,2,1,0,60,0
49775,1,13,1,1,1,1,44,5,11,0,0,42,0
66965,2,7,1,0,1,1,44,3,10,0,0,60,0
70197,9,22,2,1,0,1,30,4,2,1,0,96,1
66210,2,22,0,1,0,1,24,3,2,0,0,59,0
71008,1,27,1,1,0,1,40,1,10,0,0,49,0
52132,4,11,2,1,0,1,32,3,5,0,0,80,0
72604,1,2,1,1,1,1,40,5,7,0,0,53,0
66802,4,7,0,0,0,2,24,4,3,1,0,78,0
55730,1,26,1,1,0,1,45,4,15,0,0,64,1
8284,1,2,1,0,0,1,34,5,5,0,0,60,1
69715,2,2,0,0,0,1,58,4,18,1,0,60,0
36117,4,24,1,1,1,1,35,3,7,0,0,82,0
56139,1,16,0,1,0,1,24,4,2,0,0,51,0
15924,1,23,1,1,0,1,35,2,8,0,0,48,0
41776,4,23,1,1,1,1,31,1,2,0,0,81,0
25949,2,29,1,1,0,1,33,3,5,0,0,60,0
51509,7,2,2,0,1,1,44,3,14,0,0,47,0
36936,1,28,0,1,0,1,24,2,2,1,0,52,1
25572,3,2,1,1,0,2,34,2,10,0,0,69,0
11337,1,22,1,1,1,1,37,5,2,0,0,54,0
34965,2,26,1,1,0,2,31,3,4,0,0,63,0
38318,3,19,1,1,0,1,32,3,8,0,0,69,0
60969,2,2,1,0,0,1,33,5,7,1,0,57,0
72765,2,2,0,0,1,1,53,3,11,0,0,57,0
16951,2,22,1,1,1,2,37,5,4,1,0,57,0
54416,1,15,1,1,1,1,30,2,5,0,0,49,0
4585,5,15,1,1,1,1,35,5,3,1,0,81,0
64140,4,11,1,1,1,1,32,3,4,0,0,80,0
35746,2,15,1,1,1,1,45,3,9,0,0,61,0
6587,3,13,1,1,0,1,29,0,1,0,0,69,0
1901,1,4,1,1,1,2,31,3,4,0,0,53,0
56849,4,15,1,1,1,2,34,3,8,0,0,80,0
56233,5,22,1,0,0,1,24,0,1,1,0,86,0
15844,2,3,2,0,0,1,31,5,7,1,0,59,0
1497,1,10,2,0,0,1,37,3,6,1,0,47,0
11488,1,7,2,1,0,1,42,3,12,0,0,48,0
59616,3,4,2,1,0,1,40,3,6,0,0,72,0
9002,2,2,1,1,1,1,37,5,5,1,0,64,0
63753,2,22,1,1,0,1,50,3,8,0,0,57,0
9192,2,21,1,1,0,1,28,0,1,0,0,61,0
30143,7,2,2,0,2,1,57,3,13,0,0,53,0
23360,1,28,2,1,0,2,42,2,10,0,0,46,0
53301,2,2,2,1,1,1,34,3,8,0,0,61,0
29073,2,2,1,0,1,1,34,5,8,1,0,54,0
36460,2,13,1,1,0,1,29,0,1,0,0,62,0
3171,2,4,2,0,2,1,32,4,7,1,0,59,0
55062,2,7,1,0,1,1,27,5,2,0,0,61,0
64798,5,22,1,1,0,3,30,0,1,1,0,83,0
7908,4,33,2,1,0,1,46,3,17,0,0,83,0
70048,1,1,2,1,0,1,37,3,10,1,0,49,1
63757,1,2,1,0,1,1,48,4,13,0,0,52,0
19046,4,2,1,1,0,1,40,5,12,1,0,84,0
37427,4,20,1,1,0,1,32,3,6,0,0,73,0
58138,1,20,1,1,0,1,33,1,7,0,0,48,0
68064,3,23,1,0,0,1,35,3,6,0,0,66,0
6711,1,6,0,1,1,1,23,3,2,0,0,51,0
51002,5,15,2,1,0,1,32,3,4,0,0,86,0
5132,2,2,1,1,1,4,31,3,6,0,0,59,0
15801,2,26,1,0,0,1,40,4,13,0,0,60,0
47265,3,2,2,1,0,1,43,2,7,0,0,70,0
26798,2,32,2,1,0,1,38,3,6,0,0,60,0
72203,1,7,1,1,0,1,36,5,8,0,0,49,0
46862,3,7,2,1,0,1,49,5,20,1,0,65,0
75629,1,22,1,0,1,1,32,1,4,0,0,50,0
10452,5,2,1,1,0,2,26,3,2,0,0,91,0
37017,5,7,1,1,1,1,55,3,18,0,0,87,0
76427,7,22,2,0,0,1,35,3,5,0,0,50,0
46925,2,9,2,0,0,1,36,4,6,1,0,59,0
43828,1,30,1,1,0,1,29,5,4,1,0,45,0
58383,3,4,1,1,0,1,46,3,19,1,0,72,0
20660,9,27,1,1,1,2,30,3,4,0,0,84,0
46166,1,2,1,1,0,1,51,5,19,0,0,40,0
11123,1,29,2,1,0,1,37,3,7,0,0,54,0
67946,5,32,0,1,0,1,27,3,2,0,0,88,0
41763,1,26,0,1,0,1,43,1,4,0,0,49,0
40628,7,32,1,0,0,1,31,3,7,0,0,51,0
61482,2,7,2,0,1,2,38,4,9,1,0,65,0
63083,1,2,2,0,0,1,43,1,10,0,0,45,0
33789,4,7,1,1,1,3,29,3,4,0,0,81,0
3540,4,22,2,0,1,1,30,3,2,0,0,79,0
51292,7,2,1,0,0,1,49,5,22,1,0,50,0
137,5,7,2,1,0,1,49,4,5,0,0,90,0
73204,1,7,2,1,1,1,36,2,5,0,0,48,0
73753,3,10,2,1,1,1,33,1,3,0,0,71,0
49737,1,22,2,1,0,3,52,3,25,0,0,49,0
22462,1,32,1,0,0,1,29,0,1,0,0,53,0
36905,2,7,1,1,0,1,37,3,11,0,0,56,0
16004,6,22,0,1,0,1,25,3,3,0,0,61,0
10002,7,2,0,1,1,1,24,0,1,1,0,52,0
43176,4,7,2,0,2,1,37,4,13,0,0,79,0
12538,2,14,1,1,0,1,35,5,10,1,0,59,1
56140,4,13,1,0,0,1,33,3,4,1,0,76,1
71196,3,2,1,0,1,1,33,5,9,1,0,71,0
57893,4,2,1,0,0,1,59,3,28,0,0,78,0
5640,5,2,1,1,1,1,29,0,1,0,0,88,0
41208,2,2,1,0,0,1,38,2,8,0,0,59,0
55857,2,2,1,1,1,1,48,4,13,0,0,57,0
27907,8,11,1,1,0,1,31,3,1,1,0,62,0
5933,4,5,2,0,1,1,32,1,5,0,0,77,0
44678,3,22,1,1,0,3,24,3,2,0,0,63,0
48266,4,7,2,1,1,2,37,5,5,1,0,77,0
46639,1,7,1,0,1,1,32,5,8,1,0,46,1
21523,1,4,1,1,0,1,31,3,2,0,0,48,0
32437,2,2,1,1,1,2,45,3,5,1,1,61,0
65689,1,2,1,1,0,1,57,5,6,0,0,45,0
73819,2,15,2,1,0,2,39,2,8,0,0,59,0
74019,3,2,2,1,1,1,42,1,4,0,0,70,0
76698,2,7,1,0,0,1,45,3,4,0,1,65,1
70387,2,30,2,1,1,1,41,3,3,1,0,61,0
56162,4,27,2,0,1,1,41,1,11,0,0,74,0
26260,1,24,2,1,1,1,34,1,7,0,0,50,0
53188,1,31,1,1,1,1,47,5,18,0,0,52,0
34074,1,25,2,1,1,1,33,5,7,1,0,51,0
38934,2,22,2,0,1,1,48,3,15,0,0,69,1
39799,2,15,1,1,0,1,34,4,3,0,0,60,0
40775,1,1,2,1,0,1,35,5,4,1,0,47,0
41928,5,1,2,1,1,1,35,5,4,1,0,84,0
31364,4,15,1,0,1,2,26,3,2,0,0,79,0
25351,1,14,2,1,1,1,45,3,17,0,0,49,0
72690,1,9,2,0,1,1,31,3,1,0,0,54,0
11666,1,34,1,1,1,1,30,5,7,0,0,49,0
10167,1,13,1,1,1,1,46,1,5,0,0,50,0
43399,2,2,1,0,0,1,60,5,4,1,0,56,0
72916,2,27,1,1,0,1,44,5,11,1,0,55,0
19440,4,22,2,1,1,3,35,3,3,0,0,86,0
55444,1,22,1,1,1,2,33,2,6,0,0,52,0
10360,2,6,1,1,1,1,38,4,8,1,0,55,0
66637,4,22,2,1,1,1,39,3,5,0,0,80,0
63026,1,26,1,1,0,1,30,3,2,0,0,50,0
53981,2,5,1,1,1,1,31,0,1,1,0,65,0
66248,1,7,1,1,1,1,57,4,3,0,0,50,0
73279,1,2,1,0,0,1,34,1,7,0,0,50,0
57365,2,2,1,1,0,1,38,3,4,1,0,66,0
36691,1,14,0,1,0,1,24,0,1,1,0,55,0
31987,3,17,2,1,0,1,45,3,16,0,0,87,1
